Email,FirstName,Gender,LastName,ConfirmPassword
aarav.sharma01@jecrc.ac.in,Aarav,M,Sharma,Aarav@421
priya.verma02@jecrc.ac.in,Priya,F,Verma,Priya@562
rohan.mehta03@jecrc.ac.in,Rohan,M,Mehta,Rohan@874
ananya.gupta04@jecrc.ac.in,Ananya,F,Gupta,Ananya@193
vivek.yadav05@jecrc.ac.in,Vivek,M,Yadav,Vivek@731
sneha.kapoor06@jecrc.ac.in,Sneha,F,Kapoor,Sneha@248
aditya.malhotra07@jecrc.ac.in,Aditya,M,Malhotra,Aditya@956
kavya.singh08@jecrc.ac.in,Kavya,F,Singh,Kavya@614
rahul.chauhan09@jecrc.ac.in,Rahul,M,Chauhan,Rahul@387
ishita.joshi10@jecrc.ac.in,Ishita,F,Joshi,Ishita@825
